Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YOL080C,REX4,,0.96298,0.026,1.05645,0.029,-0.08844,0.026,0.00025
NAHCO3,NAHCO3,YOL079W,YOL079W,,0.89032,0.038,1.05541,0.015,-0.16923,0.038,0.00002
NAHCO3,NAHCO3,YOL075C,YOL075C,,0.77128,0.144,0.9099,0.041,-0.14022,0.144,0.00173
NAHCO3,NAHCO3,YOL071W,EMI5,,0.69448,0.023,0.91239,0.022,-0.22181,0.023,0.00001
NAHCO3,NAHCO3,YOL070C,NBA1,,1.25906,0.069,0.96744,0.041,0.28174,0.069,0.00005
NAHCO3,NAHCO3,YOL068C,HST1,,0.98899,0.054,0.9235,0.025,0.06563,0.054,0.00004
NAHCO3,NAHCO3,YOL101C,IZH4,,1.31681,0.096,0.98238,0.033,0.33526,0.096,0.00011
NAHCO3,NAHCO3,YOL099C,YOL099C,,0.45308,0.017,0.99659,0.009,-0.55008,0.017,0.00048
NAHCO3,NAHCO3,YOL098C,YOL098C,,1.22947,0.064,1.00213,0.003,0.22645,0.064,0.00004
NAHCO3,NAHCO3,YOL095C,HMI1,,0.91407,0.056,0.90233,0.044,0.01258,0.056,0.00006
NAHCO3,NAHCO3,YOL093W,TRM10,,1.22835,0.044,1.02415,0.007,0.20642,0.044,0.00001
NAHCO3,NAHCO3,YOL092W,YPQ1,,1.35933,0.063,1.0706,0.027,0.29129,0.063,0.00003
NAHCO3,NAHCO3,YOL091W,SPO21,,1.22935,0.002,1.09259,0.015,0.13728,0.002,0
NAHCO3,NAHCO3,YOL090W,MSH2,,0.83643,0.114,0.94455,0.081,-0.09742,0.114,0.00069
NAHCO3,NAHCO3,YOL089C,HAL9,,1.00587,0.004,1.00046,0.027,-0.00433,0.004,0
NAHCO3,NAHCO3,YOL088C,MPD2,,1.00044,0.039,0.93762,0.024,0.06563,0.039,0.00002
NAHCO3,NAHCO3,YOL087C,DUF1,,0.1876,0.004,0.79344,0.024,-0.60865,0.004,0.00014
NAHCO3,NAHCO3,YOL113W,SKM1,,1.16948,0.021,1.01155,0.039,0.16474,0.021,0.00011
NAHCO3,NAHCO3,YOL112W,MSB4,,1.26922,0.033,1.05188,0.018,0.2175,0.033,0
NAHCO3,NAHCO3,YOL111C,MDY2,,1.17706,0.078,0.96473,0.026,0.21343,0.078,0.00008
NAHCO3,NAHCO3,YOL110W,SHR5,,1.1771,0.027,1.0033,0.008,0.16925,0.027,0
NAHCO3,NAHCO3,YOL109W,ZEO1,,0.69608,0.008,0.93217,0.036,-0.22685,0.008,0.00005
NAHCO3,NAHCO3,YOL108C,INO4,,1.3183,0.078,1.04375,0.028,0.27809,0.078,0.00006
NAHCO3,NAHCO3,YOL107W,YOL107W,,0.7997,0.08,1.00097,0.031,-0.20299,0.08,0.00027
NAHCO3,NAHCO3,YOL106W,YOL106W,,1.13698,0.048,1.03453,0.015,0.10397,0.048,0.00002
NAHCO3,NAHCO3,YOL105C,WSC3,,1.09194,0.028,1.05212,0.02,0.03592,0.028,0.00022
NAHCO3,NAHCO3,YOL104C,NDJ1,,1.12683,0.027,1.03147,0.026,0.08323,0.027,0.00019
NAHCO3,NAHCO3,YOL103W,ITR2,,1.27597,0.099,0.90862,0.04,0.36153,0.099,0.00013
NAHCO3,NAHCO3,YOL128C,YGK3,,1.24235,0.078,1.1684,0.07,0.0597,0.078,0.00007
NAHCO3,NAHCO3,YOL126C,MDH2,,1.06236,0.079,0.95385,0.011,0.10969,0.079,0.00011
NAHCO3,NAHCO3,YOL124C,TRM11,,1.42088,0.072,1.11232,0.021,0.30339,0.072,0.00004
NAHCO3,NAHCO3,YOL122C,SMF1,,1.14545,0.071,1.03726,0.02,0.10402,0.071,0.00007
NAHCO3,NAHCO3,YOL119C,MCH4,,1.08796,0.015,0.94487,0.034,0.13977,0.015,0.00006
NAHCO3,NAHCO3,YOL118C,YOL118C,,1.11341,0.027,0.96562,0.028,0.14768,0.027,0
NAHCO3,NAHCO3,YOL117W,RRI2,,1.13387,0.039,1.02492,0.038,0.09841,0.039,0.00001
NAHCO3,NAHCO3,YOL116W,MSN1,,0.53399,0.069,0.85313,0.027,-0.32305,0.069,0.0006
NAHCO3,NAHCO3,YOL115W,PAP2,,0.15484,0.04,0.61294,0.024,-0.46026,0.04,0.00462
NAHCO3,NAHCO3,YOL114C,YOL114C,,0.75792,0.007,1.02082,0.082,-0.2466,0.007,0.00003
NAHCO3,NAHCO3,YOL152W,FRE7,,1.45826,0.055,1.76039,0.226,-0.31188,0.055,0.00001
NAHCO3,NAHCO3,YOL151W,GRE2,,1.0729,0.049,1.17367,0.005,-0.09977,0.049,0.00071
NAHCO3,NAHCO3,YOL150C,YOL150C,,0.6313,0.012,1.03823,0.011,-0.41176,0.012,0.00012
NAHCO3,NAHCO3,YOL147C,PEX11,,0.79376,0.143,1.02779,0.043,-0.2461,0.143,0.00156
NAHCO3,NAHCO3,YOL141W,PPM2,,0.88201,0.025,1.09358,0.023,-0.2119,0.025,0.00026
NAHCO3,NAHCO3,YOL138C,RTC1,,0.88962,0.046,0.92657,0.041,-0.03691,0.046,0.00004
NAHCO3,NAHCO3,YOL137W,BSC6,,1.12861,0.016,0.99032,0.051,0.13312,0.016,0.00006
NAHCO3,NAHCO3,YOL136C,PFK27,,1.32397,0.068,0.95872,0.038,0.35773,0.068,0.00004
NAHCO3,NAHCO3,YOL132W,GAS4,,0.76381,0.086,0.87304,0.027,-0.10649,0.086,0.00039
NAHCO3,NAHCO3,YOL131W,YOL131W,,1.14937,0.015,0.98767,0.006,0.15728,0.015,0.00006
NAHCO3,NAHCO3,YOL129W,VPS68,,1.03982,0.08,1.29737,0.111,-0.28011,0.08,0.00013
NAHCO3,NAHCO3,YOR006C,TSR3,,1.04635,0.017,1.13869,0.001,-0.09431,0.017,0.00009
NAHCO3,NAHCO3,YOR005C,DNL4,,0.45476,0.058,0.9904,0.019,-0.54193,0.058,0.00057
