Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YGL167C,PMR1,,0.6726,0.05,0.83381,0.023,-0.16321,0.05,0.00011
NAHCO3,NAHCO3,YGL166W,CUP2,,1.07919,0.041,1.10459,0.024,-0.0289,0.041,0.00049
NAHCO3,NAHCO3,YGL165C,YGL165C,,0.97908,0.042,0.96137,0.008,0.01395,0.042,0.00002
NAHCO3,NAHCO3,YGL164C,YRB30,,1.0289,0.052,1.02497,0.06,-0.01469,0.052,0.00004
NAHCO3,NAHCO3,YGL163C,RAD54,,1.03698,0.032,0.97986,0.037,0.04656,0.032,0.00001
NAHCO3,NAHCO3,YGL162W,SUT1,,1.2404,0.023,0.98719,0.059,0.2492,0.023,0
NAHCO3,NAHCO3,YGL199C,YGL199C,,1.34131,0.054,1.3426,0.069,-0.018,0.054,0.00002
NAHCO3,NAHCO3,YGL198W,YIP4,,0.78023,0.043,1.15256,0.057,-0.3758,0.043,0.00005
NAHCO3,NAHCO3,YGL197W,MDS3,,1.23348,0.036,1.13985,0.102,0.08721,0.036,0.00001
NAHCO3,NAHCO3,YGL196W,DSD1,,0.83657,0.041,0.87141,0.074,-0.04294,0.041,0.00003
NAHCO3,NAHCO3,YGL195W,GCN1,,1.29064,0.066,1.15144,0.013,0.13178,0.066,0.00004
NAHCO3,NAHCO3,YGL194C,HOS2,,0.72497,0.069,0.87336,0.017,-0.1419,0.069,0.00024
NAHCO3,NAHCO3,YGL181W,GTS1,,0.89663,0.057,0.92388,0.044,-0.03068,0.057,0.00007
NAHCO3,NAHCO3,YGL180W,ATG1,,0.95597,0.219,0.97552,0.015,-0.02233,0.219,0.00314
NAHCO3,NAHCO3,YGL179C,TOS3,,0.99935,0.065,0.9975,0.066,-0.01356,0.065,0.00008
NAHCO3,NAHCO3,YGL177W,YGL177W,,1.23502,0.03,1.0855,0.045,0.14816,0.03,0
NAHCO3,NAHCO3,YGL176C,YGL176C,,0.99961,0.067,1.05093,0.05,-0.05625,0.067,0.00008
NAHCO3,NAHCO3,YGL215W,CLG1,,0.99,0.113,1.04053,0.012,-0.05026,0.113,0.00041
NAHCO3,NAHCO3,YGL214W,YGL214W,,0.88236,0.106,1.00685,0.027,-0.12328,0.106,0.00047
NAHCO3,NAHCO3,YGL213C,SKI8,,1.03029,0.011,0.93729,0.013,0.0938,0.011,0.00004
NAHCO3,NAHCO3,YGL212W,VAM7,,1.00537,0.03,0.99272,0.033,0.01152,0.03,0.00001
NAHCO3,NAHCO3,YGL211W,NCS6,,0.92087,0.06,0.86955,0.044,0.04787,0.06,0.00007
NAHCO3,NAHCO3,YGL210W,YPT32,,1.05552,0.033,1.07039,0.026,-0.01131,0.033,0.00001
NAHCO3,NAHCO3,YGL209W,MIG2,,1.15845,0.044,1.05656,0.007,0.09921,0.044,0.00001
NAHCO3,NAHCO3,YGL208W,SIP2,,1.15538,0.057,0.97758,0.048,0.19162,0.057,0.00003
NAHCO3,NAHCO3,YGL205W,POX1,,1.13573,0.063,0.96269,0.046,0.17049,0.063,0.00005
NAHCO3,NAHCO3,YGL203C,KEX1,,0.95342,0.057,1.0999,0.056,-0.15572,0.057,0.00006
NAHCO3,NAHCO3,YGL202W,ARO8,,1.06671,0.038,1.30973,0.098,-0.24115,0.038,0.00001
NAHCO3,NAHCO3,YGL228W,SHE10,,1.01916,0.048,0.97432,0.042,0.03726,0.048,0.00003
NAHCO3,NAHCO3,YGL227W,VID30,,1.09986,0.003,0.93255,0.019,0.16216,0.003,0
NAHCO3,NAHCO3,YGL226W,MTC3,,0.97145,0.026,0.98044,0.026,-0.00576,0.026,0.00001
NAHCO3,NAHCO3,YGL226C-A,OST5,,0.77233,0.043,0.99806,0.014,-0.22383,0.043,0.00005
NAHCO3,NAHCO3,YGL224C,SDT1,,1.02527,0.041,0.97111,0.037,0.06172,0.041,0.00002
NAHCO3,NAHCO3,YGL222C,EDC1,,1.0389,0.055,1.04143,0.042,0.00326,0.055,0.00004
NAHCO3,NAHCO3,YGL221C,NIF3,,1.04272,0.01,1.03641,0.018,0.0032,0.01,0
NAHCO3,NAHCO3,YGL219C,MDM34,,0.58969,0.01,0.91799,0.02,-0.33095,0.01,0
NAHCO3,NAHCO3,YGL217C,YGL217C,,1.07934,0.086,1.10394,0.064,-0.03103,0.086,0.00014
NAHCO3,NAHCO3,YGL216W,KIP3,,1.02684,0.058,0.97509,0.038,0.05823,0.058,0.00005
NAHCO3,NAHCO3,YGL243W,TAD1,,0.95516,0.065,1.02811,0.029,-0.06537,0.065,0.00009
NAHCO3,NAHCO3,YGL242C,YGL242C,,0.86455,0.023,1.13057,0.086,-0.28423,0.023,0
